route_id,service_type,trip_id,shape_id
23,1,12553,shp_1_28
23,1,12554,shp_1_28
23,1,12555,shp_1_28
23,1,12556,shp_1_28
23,1,12557,shp_1_28
23,1,12558,shp_1_28
23,1,12559,shp_1_28
23,1,12560,shp_1_28
23,1,12561,shp_1_28
23,1,12562,shp_1_28
23,1,12563,shp_1_28
23,1,12564,shp_1_28
23,1,12565,shp_1_28
23,1,12566,shp_1_28
23,1,12567,shp_1_28
23,1,12568,shp_1_28
23,1,12569,shp_1_28
23,1,12570,shp_1_28
23,1,12571,shp_1_28
23,1,12572,shp_1_28
23,1,12573,shp_1_28
23,1,12574,shp_1_28
23,1,12575,shp_1_28
23,1,12576,shp_1_28
23,1,12577,shp_1_28
23,1,12578,shp_1_28
23,1,12579,shp_1_28
23,1,12580,shp_1_28
23,1,12581,shp_1_28
23,1,12582,shp_1_28
23,1,12583,shp_1_28
23,1,12584,shp_1_28
23,1,12585,shp_1_28
23,1,12586,shp_1_28
23,1,12587,shp_1_28
23,1,12588,shp_1_28
23,1,12589,shp_1_28
23,1,12590,shp_1_28
23,1,12591,shp_1_28
23,1,12592,shp_1_28
23,1,12593,shp_1_28
23,1,12594,shp_1_28
23,1,12595,shp_1_28
23,1,12596,shp_1_28
23,1,12597,shp_1_28
23,1,12598,shp_1_28
23,1,12599,shp_1_28
23,1,12600,shp_1_28
23,1,12601,shp_1_28
23,1,12602,shp_1_28
23,1,12603,shp_1_28
23,1,12604,shp_1_28
23,1,12605,shp_1_28
23,1,12606,shp_1_28
23,1,12607,shp_1_28
23,1,12608,shp_1_28
24,1,12942,shp_1_36
24,1,12943,shp_1_36
24,1,12944,shp_1_36
24,1,12945,shp_1_36
24,1,12946,shp_1_36
